Firstseen (UTC)	Version	Feodo C&C	Status	SBL	ASN	Country	Lastseen (UTC)\
2016-04-20 13:36:13	D	194.116.73.71	offline	SBL295029	AS41364 TOPIX-PDI-AS	- IT	2016-04-30 20:52:12\
2016-04-20 05:40:55	D	87.232.39.203	offline	SBL295009	AS34245 MAGNET-AS,	- IE	never\
2016-04-20 05:40:55	D	96.57.23.154	offline	SBL294957	AS6128 CABLE-NET-1	- US	never\
2016-04-18 21:22:31	D	193.90.12.220	offline	Not listed	AS2116 ASN-CATCHCOM,	- NO	2016-04-20 05:40:55\
2016-04-17 13:28:43	D	103.245.153.154	offline	SBL296662	AS55884 ORIONVM-AU	- AU	2016-06-07 13:15:28\
2016-04-14 06:00:46	D	50.56.118.137	offline	Not listed	AS19994 RACKSPACE	- US	2016-05-22 14:56:59\
2016-04-14 06:00:46	D	23.249.1.171	offline	SBL295544	AS55106 DATACATE-AS1	- US	2016-06-07 13:15:28\
2016-04-13 07:58:54	D	103.245.153.151	offline	SBL294147	AS55884 ORIONVM-AU	- AU	2016-05-07 14:02:44\
2016-04-13 07:58:54	D	103.245.153.65	offline	SBL294146	AS55884 ORIONVM-AU	- AU	2016-05-06 03:18:01\
2016-04-13 07:58:54	D	138.128.125.153	offline	SBL294145	AS36352 AS-COLOCROSSING	- US	2016-05-09 17:57:10\
2016-04-09 11:10:27	D	93.174.126.37	offline	SBL294626	AS47521 IPHOST	- GR	never\
2016-04-01 03:49:38	D	70.164.127.132	offline	SBL292746	AS19719 STI	- US	2016-05-04 23:16:03\
2016-04-01 03:49:38	D	201.158.51.182	offline	Not listed	AS27884 CABLECOLOR		never\
2016-04-01 01:15:11	D	68.169.149.114	offline	Not listed	AS26827 EPBTELECOM	- US	never\
2016-04-01 01:15:11	D	86.111.161.76	offline	SBL292744	AS57356 HIGHNET-AS,	- GB	never\
2016-04-01 01:15:11	D	69.15.194.26	offline	SBL292745	AS17184 ATL-CBEYOND	- US	never\
2016-04-01 01:15:11	D	87.117.242.13	offline	SBL292743	AS20860 IOMART-AS,	- GB	never\
2016-03-29 04:51:45	D	93.97.47.73	offline	Not listed	AS35228 O2BROADBAND,	- GB	never\
2016-03-29 04:51:12	D	93.82.56.224	offline	Not listed	AS8447 TELEKOM-AT	- AT	never\
