latitude;longitude
3.856.858.874;-1.214.955.782
3.857.813.402;-1.214.807.627
3.847.753.956;-1.214.839.042
3.854.439.581;-1.213.908.868
3.859.007.055;-1.214.856.685
3.862.995.233;-1.214.727.959
3.863.446.573;-1.214.495.692
3.857.845.904;-1.214.946.409
3.847.889.655;-1.214.346.919
3.860.894.608;-1.214.626.763
3.851.206.582;-1.215.423.299
3.860.918.097;-1.214.618.136
3.848.540.584;-1.214.923.996
3.849.109.084;-1.214.634.092
3.860.858.334;-1.214.326.769
3.850.422.234;-1.215.379.108
385.467.716;-121.458.959
3.849.407.763;-1.214.673.944
3.849.407.763;-1.214.673.944
3.848.642.245;-1.214.568.798
385.898.202;-1.214.812.549
3.861.141.174;-1.214.343.762
3.861.141.174;-1.214.343.762
3.848.160.193;-1.214.654.193
385.259.245;-1.214.084.943
3.859.994.183;-1.214.276.508
386.270.814;-1.214.984.478
3.857.421.273;-1.214.869.021
384.831.539;-1.214.549.413
3.856.970.242;-12.149.847
3.856.970.242;-12.149.847
3.843.922.779;-1.214.190.329
3.849.904.003;-1.214.795.627
3.858.138.835;-1.214.622.017
3.861.319.803;-1.214.262.914
3.852.298.255;-1.214.307.286
3.857.235.387;-1.214.639.068
3.846.405.311;-1.214.405.755
3.861.582.702;-1.214.886.746
3.855.424.238;-1.214.142.079
3.860.027.317;-1.214.252.477
3.855.441.531;-1.214.575.722
3.853.952.458;-1.214.647.617
3.844.734.129;-1.214.287.891
3.864.543.073;-121.419.831
3.863.862.878;-1.213.815.598
3.858.026.647;-1.214.979.339
3.846.689.445;-1.214.170.895
3.857.484.527;-1.214.821.859
3.853.613.202;-1.214.452.442
3.857.097.333;-1.214.408.319
3.860.093.347;-121.422.191
3.849.407.763;-1.214.673.944
3.847.987.012;-1.214.806.735
3.850.576.856;-1.214.181.141
3.860.108.154;-121.456.171
3.860.915.546;-1.214.430.593
3.856.465.716;-121.471.708
386.626.053;-1.215.080.076
386.084.813;-1.214.619.309
386.319.462;-1.214.826.112
3.861.216.003;-1.214.570.454
385.272.962;-1.214.652.065
3.844.303.164;-1.214.363.617
3.860.376.214;-1.215.399.288
3.856.953.204;-1.214.890.204
3.847.531.506;-1.214.487.485
3.857.717.555;-1.214.782.896
3.856.957.983;-1.214.818.568
3.851.016.505;-1.214.884.492
3.855.850.838;-1.214.794.507
3.857.562.427;-1.214.758.978
3.848.642.245;-1.214.568.798
3.860.154.457;-12.142.747
3.861.111.345;-1.214.323.383
3.867.744.929;-1.215.365.419
3.848.091.284;-1.214.916.281
385.501.848;-1.214.768.749
3.861.319.529;-1.214.235.266
3.853.600.493;-1.214.799.575
3.864.244.876;-1.214.226.037
385.397.347;-1.214.384.125
3.847.435.531;-121.448.452
